retweet,user_name,screen_name,message,bot_probability,row_num,num_words,num_question,num_exclamation,num_digit_screen_name,num_political_word,num_environmental_word,include_retweet,num_hashtag
99.0,GET IT OUT,0BLUEtHOR,RT @LVNancy: The saddest part about #CaliforniaFires is that they are self inflicted. At what point will commonsense forest management prac…,0.016566752245969804,0,21,0,0,1,0,0,1,1
512.0,GET IT OUT,0BLUEtHOR,"RT @adjunctprofessr: If a 1 watt laser can set a match on fire, what will a 500 trillion watt laser do?

⤵️
https://t.co/S3hJTcd7RA

How ma…",0.016566752245969804,0,25,1,0,1,0,0,1,0
12.0,KATE ZAHN🇺🇸,0IIIIIII0_GIRL,"RT @fox5dc: #BREAKING: (AP) -- Northern California sheriff says remains of 2 more found, bringing wildfire death toll to 79; around 700 rem…",0.008750694009244317,0,22,0,0,2,0,0,1,1
0.0,💯Trump Positive🇺🇸,100Trump45,"And so do common sense people of Cali They've been mad about this for years but Moonbeam and his tree huggers blocked any efforts Here's hoping @realDonaldTrump puts the screws to their environmental protection BS 👊
#CaliforniaFires https://t.co/5hQqYo429s",0.028225552221050176,0,38,0,0,5,0,0,1,1
0.0,💯Trump Positive🇺🇸,100Trump45,"Thank you for coming to Cali @POTUS Good #MAGA people here 💖 you❣
(P.S. Don't let Swalwell anywhere near you Sir)
#CaliforniaFires https://t.co/SYUkckzdtV",0.028225552221050176,0,23,0,0,5,0,0,0,2
30.0,Victoria Norman,1231victoria,RT @WeSupport45: @realDonaldTrump We demand a complete audit of the $6 Billion in @FEMA money sent to California since 2005 @realDonaldTrum…,0.003456537504174769,0,21,0,0,4,0,0,1,0
13.0,Artic Thunder,123seanfootball,RT @SkywayFire: South Puget Sound Taskforce Crews demobilized from the #WoosleyFires and have been repositioned NE of Sacramento for a fore…,0.0016347149115980926,0,21,0,0,3,0,0,1,1
1.0,12 Mile Geo,12MileGeo,"Maybe seeing this will change his tune. But probably not.

#CaliforniaFires: Trump to visit state's deadliest wildfire - https://t.co/BfB6Y1HNly",0.002618313192043197,0,18,0,0,2,0,0,0,1
1.0,12 Mile Geo,12MileGeo,"Once again, #Trump reveals his ignorance. 
#CaliforniaFires

Trump: Not raking weeds contributing to fires

https://t.co/egG8cOzF35",0.002618313192043197,0,15,0,0,2,0,0,0,2
0.0,Matt Daniel,12sec317,@ndp409 @IvankaTrump Shouldn’t that be a @fema hat or @CAL_FIRE hat? #CaliforniaFires,0.0016347149115980926,0,12,1,0,5,0,0,0,1
0.0,Matt Daniel,12sec317,Beautiful sunset from Fort Worden in Port Townsend this afternoon! I believe that some of that haze in the picture is actually some of the smoke we are getting from the #CaliforniaFires. #PortTownsend #Weather https://t.co/CyKfhQuqNw,0.0016347149115980926,0,35,0,1,5,0,0,1,3
0.0,FTPBTP13🇺🇸,13FTPBTP,@realDonaldTrump  somebody said send this to you in regards to the fires in California #CaliforniaFires #CampFire #JamesWoodsCampFire https://t.co/iAMjO0KcGj,0.012788431177246198,0,18,0,0,2,0,0,0,3
1.0,FTPBTP13🇺🇸,13FTPBTP,@realDonaldTrump someone said show you this but I'm gonna add to it cause somehow my first tweet to you is gone and i didn't delete it #CaliforniaFires #CampFire #JamesWoodsCampFire   https://t.co/iAMjO0KcGj,0.012788431177246198,0,30,0,0,2,0,0,0,3
1026.0,Shelley-Hariprakash,18hariprakash18,"RT @love2godown21: Every picture tells a story: The #CaliforniaFires are tragic.
This photo has a purpose. 
WHAT EXACTLY DID YOU TWO KNUCKL…",0.08590409243653728,0,22,0,0,4,0,0,1,1
87.0,Teri Shockey,1912Fenway,"RT @LauraRoslin2017: Hey, kid! When you get done with the lawn I’m gonna need you to go out to California and rake the forests. That’s what…",0.004268306222830912,0,26,0,1,4,0,0,1,0
359.0,Teri Shockey,1912Fenway,RT @LauraRoslin2017: There is a humanitarian crisis happening right now in Chico California. A tent city in the parking lot of Walmart is w…,0.004268306222830912,0,24,0,0,4,0,0,1,0
429.0,K,1945rkn,RT @pyryluminen: ... and the show goes on! My vacuum cleaner is getting famous 😎 https://t.co/dfubn6xGez #RakingAmericaGreatAgain #raking #…,0.0016347149115980926,0,18,0,1,4,0,0,1,3
100.0,Charles Wood,19caw51,RT @Alisand3: My President @realDonaldTrump will be in #California tomorrow to visit the fire areas.  I would like to welcome him and say t…,0.3868425932473016,0,24,0,0,4,0,0,1,1
1.0,JS™,1ChordWonder,"#SmartMeters #EnvironmentalTerrorism #DEW #LockHeedMartin #PGandE #Rothschild #CampFire #CaliforniaFires #MAGA #WWG1WGA #Trump #QAnon #PatriotsFight #PatriotsUnite #WalkAway #Blexit @realDonaldTrump @POTUS @DHSgov @DeptofDefense 

@JerryBrownGov &lt;&lt;-- needs a prison cell!!! https://t.co/NQuktTUPSi",0.004268306222830912,0,27,0,3,1,0,0,1,16
0.0,JS™,1ChordWonder,"@ABC @AdamSchiff perhaps the ""experts"" could explain how the trees survived, while everything else perished. But that would contradict the BOGUS #ClimateChange narrative, so that won't happen. #WeThePeople are not stupid. #DEW #SmartMeters #MAGA #Trump #CampFire #CaliforniaFires https://t.co/Y5NX7G9rju",0.004268306222830912,0,38,0,0,1,0,0,1,8
2.0,JS™,1ChordWonder,"@CalFireNews In the #CampFire, the only things that DIDN'T burn were trees, plastic, etc. We're not stupid! #DEW #SmartMeters #PGandE #Rothschild #LockheedMartin #EnvironmentalTerrorism #CaliforniaFires #JerryBrown4Prison #PremeditatedMurder #MAGA #Trump #WWG1WGA #QAnon #TheGreatAwakening",0.004268306222830912,0,31,0,1,1,0,0,1,15
0.0,JS™,1ChordWonder,"@CalFireNews So they're going to try to pin it on 2 little kids, &amp; the transmission recording is conveniently edited? Anyone can see that these are NOT natural fires. This was premeditated MURDER &amp; arson. Someone's nose is growing. #DEW #CampFire #CaliforniaFires #SmartMeters 
@JerryBrownGov https://t.co/oSbcO1tJVZ",0.004268306222830912,0,45,1,0,1,0,0,1,4
2.0,JS™,1ChordWonder,"@DRUDGE_REPORT Irony: Burnt trees are mentioned twice in this article, but trees are one of the few things that survived this Armageddon. #MockingbirdMedia #PremeditatedMurder #DEW #SmartMeters #PGandE #Rothschild #ParadiseFire #CampFire #CaliforniaFires  #EnvironmentalTerrorism #MAGA #Trump https://t.co/UkUoMTxzd9",0.004268306222830912,0,35,0,0,1,0,0,1,12
0.0,JS™,1ChordWonder,"@DevinNunes @RealMattCouch @Federalist Explain how structures were obliterated in the midst of green trees, in pic after pic. These were not natural fires. #DEW #SmartMeters #PGandE #CaliforniaFires #CampFire #MAGA #Trump",0.004268306222830912,0,30,0,0,1,0,0,1,7
0.0,JS™,1ChordWonder,"@DougieFreshii @paulacblades001 When will a major news outlet ask the obvious questions, like how do structures burn to the ground in the midst of untouched trees, &amp; how do fires spread this fast? Why does everyone just ignore this? #CampFire #CaliforniaFires #DEW @FoxNews @CNN @ABC @CBSNews @NBCNews @MSNBC",0.004268306222830912,0,48,2,0,1,0,0,0,3
1.0,JS™,1ChordWonder,"@lwoodhouse Bullshit! It's #DEW #Smartmeters #PGandE #Rothschild @JerryBrownGov 

Explain how trees survive while nearly everything else in their midst perishes. I won't hold my breath waiting for your response. 
#CampFire #CaliforniaFires #MAGA #Trump #EnvironmentalTerrorism https://t.co/5uEsY2OyF0",0.004268306222830912,0,35,0,1,1,0,0,1,9
